,problem,participant,hv
0,eil76_n225_bounded-strongly-corr_01,NDS-BRKGA,0.9215934540331552
1,eil76_n225_bounded-strongly-corr_01,PN-DRLMOA,0.845307651117573
2,eil76_n225_bounded-strongly-corr_01,AM-DRLMOA,0.8093968797938338
3,eil76_n225_bounded-strongly-corr_01,PN-PHN,0.8169647959407644
4,eil76_n225_bounded-strongly-corr_01,AM-PHN,0.8064215533655
5,eil76_n225_bounded-strongly-corr_01,PN-MBPS,0.8396147424991001
6,eil76_n225_bounded-strongly-corr_01,AM-MBPS,0.8412103088770546
7,eil76_n225_bounded-strongly-corr_02,NDS-BRKGA,0.9270046499658822
8,eil76_n225_bounded-strongly-corr_02,PN-DRLMOA,0.8753013311641586
9,eil76_n225_bounded-strongly-corr_02,AM-DRLMOA,0.8696679023916839
10,eil76_n225_bounded-strongly-corr_02,PN-PHN,0.8522741858293055
11,eil76_n225_bounded-strongly-corr_02,AM-PHN,0.8357399392552071
12,eil76_n225_bounded-strongly-corr_02,PN-MBPS,0.8582756522188932
13,eil76_n225_bounded-strongly-corr_02,AM-MBPS,0.8631303300320685
14,eil76_n225_bounded-strongly-corr_03,NDS-BRKGA,0.9280719793299346
15,eil76_n225_bounded-strongly-corr_03,PN-DRLMOA,0.8852785964516655
16,eil76_n225_bounded-strongly-corr_03,AM-DRLMOA,0.8988631530656903
17,eil76_n225_bounded-strongly-corr_03,PN-PHN,0.8636231337816046
18,eil76_n225_bounded-strongly-corr_03,AM-PHN,0.8534288268905201
19,eil76_n225_bounded-strongly-corr_03,PN-MBPS,0.8695826297542251
20,eil76_n225_bounded-strongly-corr_03,AM-MBPS,0.8852622861651744
21,eil76_n225_bounded-strongly-corr_04,NDS-BRKGA,0.8983968743214985
22,eil76_n225_bounded-strongly-corr_04,PN-DRLMOA,0.8476446694359518
23,eil76_n225_bounded-strongly-corr_04,AM-DRLMOA,0.8643004681725829
24,eil76_n225_bounded-strongly-corr_04,PN-PHN,0.8472286874984218
25,eil76_n225_bounded-strongly-corr_04,AM-PHN,0.8360897983656806
26,eil76_n225_bounded-strongly-corr_04,PN-MBPS,0.851761092466909
27,eil76_n225_bounded-strongly-corr_04,AM-MBPS,0.8580101907423947
28,eil76_n225_bounded-strongly-corr_05,NDS-BRKGA,0.8876766513672542
29,eil76_n225_bounded-strongly-corr_05,PN-DRLMOA,0.8451465200629964
30,eil76_n225_bounded-strongly-corr_05,AM-DRLMOA,0.8759202214851146
31,eil76_n225_bounded-strongly-corr_05,PN-PHN,0.8566952562980453
32,eil76_n225_bounded-strongly-corr_05,AM-PHN,0.8402717391066734
33,eil76_n225_bounded-strongly-corr_05,PN-MBPS,0.861201729302691
34,eil76_n225_bounded-strongly-corr_05,AM-MBPS,0.852586369774401
35,eil76_n225_bounded-strongly-corr_06,NDS-BRKGA,0.879438648310707
36,eil76_n225_bounded-strongly-corr_06,PN-DRLMOA,0.8405970870769764
37,eil76_n225_bounded-strongly-corr_06,AM-DRLMOA,0.8631310134859409
38,eil76_n225_bounded-strongly-corr_06,PN-PHN,0.8621696159298301
39,eil76_n225_bounded-strongly-corr_06,AM-PHN,0.849263921475365
40,eil76_n225_bounded-strongly-corr_06,PN-MBPS,0.8665194283329817
41,eil76_n225_bounded-strongly-corr_06,AM-MBPS,0.8489118291141846
42,eil76_n225_bounded-strongly-corr_07,NDS-BRKGA,0.8706935783170258
43,eil76_n225_bounded-strongly-corr_07,PN-DRLMOA,0.8452170700247034
44,eil76_n225_bounded-strongly-corr_07,AM-DRLMOA,0.8387088136158157
45,eil76_n225_bounded-strongly-corr_07,PN-PHN,0.8661114216372793
46,eil76_n225_bounded-strongly-corr_07,AM-PHN,0.8478224472460598
47,eil76_n225_bounded-strongly-corr_07,PN-MBPS,0.8737772784564107
48,eil76_n225_bounded-strongly-corr_07,AM-MBPS,0.852152955981841
49,eil76_n225_bounded-strongly-corr_08,NDS-BRKGA,0.8461881593196027
50,eil76_n225_bounded-strongly-corr_08,PN-DRLMOA,0.8271377869768478
51,eil76_n225_bounded-strongly-corr_08,AM-DRLMOA,0.8396289931115744
