,participant,config,average,std
0,NDS-BRKGA,eil76_n225_bounded-strongly-corr,0.8794841469938739,0.042453790574247335
1,NDS-BRKGA,eil76_n225_uncorr-similar-weights,0.8438541765671002,0.029755072155783126
2,NDS-BRKGA,eil76_n225_uncorr,0.8714952724633942,0.008234357506004217
3,NDS-BRKGA,eil76_n375_bounded-strongly-corr,0.8789753213141929,0.04457321267612038
4,NDS-BRKGA,eil76_n375_uncorr-similar-weights,0.8444734522929254,0.029267542002392555
5,NDS-BRKGA,eil76_n375_uncorr,0.873311846187516,0.010310141895102631
6,NDS-BRKGA,eil76_n750_bounded-strongly-corr,0.8781015948710728,0.03805642742741365
7,NDS-BRKGA,eil76_n750_uncorr-similar-weights,0.8433640560547587,0.02820034648145418
8,NDS-BRKGA,eil76_n750_uncorr,0.8712598332232048,0.01056248442305721
9,NDS-BRKGA,eil76_n75_bounded-strongly-corr,0.8557507373792281,0.040690051005792816
10,NDS-BRKGA,eil76_n75_uncorr-similar-weights,0.8272733398617589,0.013307916375176844
11,NDS-BRKGA,eil76_n75_uncorr,0.8638942331013755,0.020638046410962518
12,PN-PHN,eil76_n225_bounded-strongly-corr,0.8520872617548354,0.014249047511264417
13,PN-PHN,eil76_n225_uncorr-similar-weights,0.8422076173220369,0.03023093742031045
14,PN-PHN,eil76_n225_uncorr,0.8462756340021078,0.012353898872367873
15,PN-PHN,eil76_n375_bounded-strongly-corr,0.881531821237912,0.020489327642206196
16,PN-PHN,eil76_n375_uncorr-similar-weights,0.8713121444363201,0.019187538029015263
17,PN-PHN,eil76_n375_uncorr,0.865876175533258,0.018435656852778773
18,PN-PHN,eil76_n750_bounded-strongly-corr,0.8820273088549596,0.02207810926521152
19,PN-PHN,eil76_n750_uncorr-similar-weights,0.8729042719626016,0.016247404040538923
20,PN-PHN,eil76_n750_uncorr,0.8683161620678114,0.04739670503653237
21,PN-PHN,eil76_n75_bounded-strongly-corr,0.6676929940288412,0.06825167214058703
22,PN-PHN,eil76_n75_uncorr-similar-weights,0.5857896613373295,0.10858031978963519
