,participant,config,average,std
0,NDS-BRKGA,ch150_n1490_bounded-strongly-corr,0.8764806592847343,0.041946762226677946
1,NDS-BRKGA,ch150_n1490_uncorr-similar-weights,0.8403363535908799,0.03276191958680596
2,NDS-BRKGA,ch150_n1490_uncorr,0.866981146677424,0.011184082113803784
3,NDS-BRKGA,ch150_n149_bounded-strongly-corr,0.8761420750915683,0.04053814800667674
4,NDS-BRKGA,ch150_n149_uncorr-similar-weights,0.8398503743098699,0.03157888908178283
5,NDS-BRKGA,ch150_n149_uncorr,0.8694762992528146,0.016886700005510943
6,NDS-BRKGA,ch150_n447_bounded-strongly-corr,0.874578094712757,0.045520078725813734
7,NDS-BRKGA,ch150_n447_uncorr-similar-weights,0.8450681140890939,0.028357976649441615
8,NDS-BRKGA,ch150_n447_uncorr,0.8722381895152036,0.014176127276195757
9,NDS-BRKGA,ch150_n745_bounded-strongly-corr,0.8779302495185822,0.044813464077101794
10,NDS-BRKGA,ch150_n745_uncorr-similar-weights,0.8439339882262423,0.029188779941512106
11,NDS-BRKGA,ch150_n745_uncorr,0.8706810081056945,0.013384322800079153
12,PN-PHN,ch150_n1490_bounded-strongly-corr,0.8625389745566101,0.022677774829861233
13,PN-PHN,ch150_n1490_uncorr-similar-weights,0.8483075841928859,0.026029411188366835
14,PN-PHN,ch150_n1490_uncorr,0.8194115608059647,0.039340605476874735
15,PN-PHN,ch150_n149_bounded-strongly-corr,0.598642979835801,0.03366957331076231
16,PN-PHN,ch150_n149_uncorr-similar-weights,0.5972405210171858,0.036669264573302204
17,PN-PHN,ch150_n149_uncorr,0.5932315781986384,0.037582898899349154
18,PN-PHN,ch150_n447_bounded-strongly-corr,0.8098423628181324,0.022917230440616148
19,PN-PHN,ch150_n447_uncorr-similar-weights,0.7972810449625607,0.03298954567566427
20,PN-PHN,ch150_n447_uncorr,0.7656183939381749,0.02710238986465588
21,PN-PHN,ch150_n745_bounded-strongly-corr,0.8453845156598433,0.020174683069979778
22,PN-PHN,ch150_n745_uncorr-similar-weights,0.8111891573582313,0.02885902948363836
23,PN-PHN,ch150_n745_uncorr,0.8001911266769236,0.04148438204450189
24,AM-PHN,ch150_n1490_bounded-strongly-corr,0.8774156204716906,0.02936698657491332
25,AM-PHN,ch150_n1490_uncorr-similar-weights,0.8482765592444631,0.025262959534294343
26,AM-PHN,ch150_n1490_uncorr,0.8467888163444011,0.03367940312019271
27,AM-PHN,ch150_n149_bounded-strongly-corr,0.5600459498515147,0.07640951503261834
28,AM-PHN,ch150_n149_uncorr-similar-weights,0.6152110497829092,0.02349126811113418
29,AM-PHN,ch150_n149_uncorr,0.590905291967815,0.028176209751526585
30,AM-PHN,ch150_n447_bounded-strongly-corr,0.8280683660391321,0.028029565657080348
31,AM-PHN,ch150_n447_uncorr-similar-weights,0.7973254656265478,0.02577237094440132
32,AM-PHN,ch150_n447_uncorr,0.775305919512651,0.02110955345452058
33,AM-PHN,ch150_n745_bounded-strongly-corr,0.8715882918964301,0.022628414096486433
34,AM-PHN,ch150_n745_uncorr-similar-weights,0.8250569151377363,0.02613879978805619
35,AM-PHN,ch150_n745_uncorr,0.8282550918436679,0.019980835489888445
36,PN-DRLMOA,ch150_n1490_bounded-strongly-corr,0.8859711296996663,0.026582835857983066
37,PN-DRLMOA,ch150_n1490_uncorr-similar-weights,0.889274179660881,0.011057757053876904
38,PN-DRLMOA,ch150_n1490_uncorr,0.8706317685756966,0.017842930651570554
39,PN-DRLMOA,ch150_n149_bounded-strongly-corr,0.6128661171188693,0.022531839052732178
40,PN-DRLMOA,ch150_n149_uncorr-similar-weights,0.6375366523272096,0.045308745277088065
41,PN-DRLMOA,ch150_n149_uncorr,0.6771136717796017,0.050564909989287074
42,PN-DRLMOA,ch150_n447_bounded-strongly-corr,0.8247877613887489,0.008943449031439638
43,PN-DRLMOA,ch150_n447_uncorr-similar-weights,0.846392640086103,0.00974691603605777
44,PN-DRLMOA,ch150_n447_uncorr,0.8186216121489208,0.025832314226495606
45,PN-DRLMOA,ch150_n745_bounded-strongly-corr,0.8568094883659938,0.01723527058019032
46,PN-DRLMOA,ch150_n745_uncorr-similar-weights,0.8625534501675929,0.016752805987561525
47,PN-DRLMOA,ch150_n745_uncorr,0.8605253327255333,0.00906010561260875
48,AM-DRLMOA,ch150_n1490_bounded-strongly-corr,0.8860318271832428,0.016079375993587476
49,AM-DRLMOA,ch150_n1490_uncorr-similar-weights,0.8650923138789146,0.030736323044980002
50,AM-DRLMOA,ch150_n1490_uncorr,0.8870951450028602,0.01391797961790468
51,AM-DRLMOA,ch150_n149_bounded-strongly-corr,0.6043660415710905,0.039578870703362176
52,AM-DRLMOA,ch150_n149_uncorr-similar-weights,0.6118257245035619,0.06279690604910088
53,AM-DRLMOA,ch150_n149_uncorr,0.670615242583241,0.020019029297083827
54,AM-DRLMOA,ch150_n447_bounded-strongly-corr,0.8295551600425789,0.01584959130475516
55,AM-DRLMOA,ch150_n447_uncorr-similar-weights,0.8341032502250805,0.05381981743241271
