,algorithms,a280_n279,a280_n1395,a280_n2790,fnl4461_n4460,fnl4461_n22300,fnl4461_n44600
0,HPI,50,50,50,50,50,50
1,ALLAOUI,50,50,50,50,50,50
2,jomar,50,50,50,50,50,50
3,shisunzhang,50,50,50,50,50,50
4,faria,50,50,50,50,50,50
5,NTGA,50,50,50,50,50,50
6,SSteam,50,50,50,50,50,50
7,SamirO-ETF-ba,50,50,50,50,44,50
8,FRA,50,50,50,50,50,50
9,sinc,50,50,50,35,26,50
10,AM-DRLMOA,16,16,6,15,13,6
11,att-r1nes,9,15,6,15,22,9
12,att-r1nesv1,7,6,4,11,6,2
13,att-r1nesv2,9,7,18,10,6,14
14,AM-PHN,29,20,13,39,48,27
15,att_phn-rs64,29,29,10,42,50,33
16,att_phn-rs256,11,4,5,14,5,9
17,AM-PHN-SE,10,6,7,12,17,14
18,mpn_drlmoa,14,8,5,11,5,5
19,mpn_r1nes_final,27,19,9,35,19,18
20,mpn_r1nes_finalv1,16,13,6,31,13,8
21,mpn_r1nes_finalv2,15,14,9,22,6,4
22,mpn-phn,12,9,12,15,14,11
23,mpn-phn-rs64,1,6,7,5,7,5
24,mpn-phn-rs256,10,12,13,13,11,15
25,mpn-phn_pure,1,1,2,1,1,5
